Acelerômetro X = 441 	Y = 6 	Z = 2234
Acelerômetro X = 52 	Y = -47 	Z = 2192
Acelerômetro X = 59 	Y = -26 	Z = 2206
Acelerômetro X = 49 	Y = -39 	Z = 2183
Acelerômetro X = 49 	Y = -24 	Z = 2185
Acelerômetro X = 50 	Y = -17 	Z = 2202
Acelerômetro X = 48 	Y = -27 	Z = 2183
Acelerômetro X = 44 	Y = -30 	Z = 2194
Acelerômetro X = 52 	Y = -24 	Z = 2196
Acelerômetro X = 47 	Y = -16 	Z = 2213
Acelerômetro X = 41 	Y = -28 	Z = 2187
Acelerômetro X = 46 	Y = -25 	Z = 2195
Acelerômetro X = 49 	Y = -38 	Z = 2190
Acelerômetro X = 39 	Y = -20 	Z = 2183
Acelerômetro X = 44 	Y = -31 	Z = 2191
Acelerômetro X = 59 	Y = -36 	Z = 2207
Acelerômetro X = 51 	Y = -33 	Z = 2180
Acelerômetro X = 40 	Y = -33 	Z = 2186
Acelerômetro X = 37 	Y = -18 	Z = 2196
Acelerômetro X = 43 	Y = -41 	Z = 2194
Acelerômetro X = 52 	Y = -35 	Z = 2202
Acelerômetro X = 52 	Y = -5 	Z = 2196
Acelerômetro X = 56 	Y = -17 	Z = 2198
Acelerômetro X = 56 	Y = -26 	Z = 2197
Acelerômetro X = 46 	Y = -30 	Z = 2198
Acelerômetro X = 38 	Y = -31 	Z = 2199
Acelerômetro X = 44 	Y = -36 	Z = 2215
Acelerômetro X = 37 	Y = -40 	Z = 2202
Acelerômetro X = 37 	Y = -1 	Z = 2197
Acele
